CustomerID,Name,Gender,Age,JoinDate,Department,Salary,PurchaseAmount,Email
1074,James Brown,Male,40.0,26 Apr 2017,it,,268.49,james.brown@example.com
1270,David Smith,Male,61.0,,Marketing,"$32,390.12",48.4,david.smith@example.com
1031,Charles Lopez,FEMALE,43.0,2015/12/14,SALES,"$52,507.63",67.3,charles.lopez@example.com
1038,Susan Davis,M,24.0,2016-03-05,Finance,"$61,724.86",27.67,susan.davis@example.com
1169,Karen Garcia,male,33.0,02 May 2020,IT,"$48,152.93",39.77,karen.garcia@example.com
1071,Karen Brown,Female ,32.0,2017-03-22,Sales,"$54,465.84",6200.0,karen.brown@example.com
1172,Richard Rodriguez,Female ,27.0,2020/06/06,HR,"$54,096.22",224.06,richard.rodriguez@example.com
1089,Joseph Williams,female,29.0,10-17-2017,Marketing,"$58,442.23",655.2,joseph.williams@example.com
1281,David Smith,Male,46.0,22 Nov 2023,finance ,"$53,727.24",126.96,david.smith@example.com
1067,Mary Rodriguez,F,46.0,02-04-2017,IT,"$79,253.12",21.06,mary.rodriguez@example.com
1156,Susan Hernandez,female,64.0,03/12/2019,finance ,"$61,562.68",36.64,susan.hernandez@example.com
1091,Charles Williams,Female ,34.0,09/11/2017,Sales,"$60,615.80",132.43,charles.williams@example.com
1085,Michael Smith,male,,2017/09/01,IT,"$33,747.37",481.82,michael.smith@example.com
1095,Robert Jones,Male,42.0,2017/12/26,Marketing,"$50,460.70",93.39,robert.jones@example.com
1098,Karen Johnson,F,34.0,30 Jan 2018,finance ,"$77,189.12",144.08,karen.johnson@example.com
1175,Patricia Williams, Male,39.0,11/07/2020,hr,"$76,676.89",34.08,patricia.williams@example.com
1115,David Williams,Female ,42.0,08-15-2018,marketing,"$66,343.72",111.42,david.williams@example.com
1160,Charles Gonzalez,FEMALE,32.0,2020/01/19,Marketing,"$91,676.95",30.27,charles.gonzalez@example.com
1291,Mary Wilson,Male,37.0,03-17-2024,sales,"$54,840.42",20.78,mary.wilson@example.com
1174,Karen Anderson,FEMALE,42.0,29/06/2020,IT,"$61,825.36",128.38,karen.anderson@example.com
1300,Richard Hernandez,MALE,47.0,2024-06-30,Sales,"$66,251.83",121.87,richard.hernandez@example.com
1235,Patricia Anderson, Male,,2022-06-07,SALES,"$51,341.56",67.36,patricia.anderson@example.com
1074,James Brown,Male,40.0,26 Apr 2017,it,,268.49,james.brown@example.com
1223,David Hernandez,male,,2022-01-18,marketing,"$72,005.21",69.23,david.hernandez@example.com
1112,Joseph Brown,F,55.0,07-11-2018,SALES,"$60,103.15",31.78,joseph.brown@example.com
1124,Jessica Miller,male,57.0,11-27-2018,HR,"$50,892.24",346.82,jessica.miller@example.com
1001,Thomas Jones,Female,25.0,2019/08/09,IT,"$65,161.02",36.7,thomas.jones@example.com
1016,Elizabeth Brown,MALE,39.0,2015/06/23,finance ,"$38,856.32",207.48,elizabeth.brown@example.com
1004,Mary Lopez,male,59.0,2015/02/04,IT,"$42,065.23",74.28,mary.lopez@example.com
1114,Thomas Martinez,FEMALE,32.0,2018-08-03,IT,"$49,377.38",67.31,thomas.martinez@example.com
1254,David Brown,M,60.0,13/01/2023,sales,"$49,236.31",206.93,david.brown@example.com
1200,Jennifer Jones,female,38.0,27/04/2021,finance ,"$57,705.46",91.96,jennifer.jones@example.com
1061,William Hernandez,male,25.0,26 Nov 2016,sales,"$44,318.47",209.21,william.hernandez@example.com
1092,Elizabeth Lopez,FEMALE,43.0,2017-11-21,marketing,"$64,479.72",295.4,elizabeth.lopez@example.com
1075,Thomas Smith,MALE,24.0,2017/05/08,finance ,"$68,865.37",51.47,thomas.smith@example.com
1015,David Davis,MALE,45.0,06-12-2015,marketing,"$56,048.79",200.33,david.davis@example.com
1001,Susan Williams,Male,31.0,13/01/2019,finance ,"$59,740.72",16.43,susan.williams@example.com
1233,James Thomas,female,55.0,14/05/2022,finance ,"$81,570.12",5.92,james.thomas@example.com
1164,Robert Smith,Female ,51.0,2020/03/05,HR,"$61,167.58",269.65,robert.smith@example.com
1295,Thomas Wilson,FEMALE,42.0,2024-05-03,it,"$64,194.48",149.56,thomas.wilson@example.com
1274,William Martinez,male,26.0,02/09/2023,hr,"$82,026.13",43.52,william.martinez@example.com
1103,Elizabeth Jones,male,44.0,29 Mar 2018,it,"$66,502.34",117.26,elizabeth.jones@example.com
1285,Richard Martinez, Male,37.0,08/01/2024,sales,"$60,493.14",361.57,richard.martinez@example.com
1003,William Wilson,FEMALE,28.0,,it,"$44,859.74",65.18,william.wilson@example.com
1149,Thomas Davis,Female,49.0,13 Sep 2019,finance ,"$65,478.50",254.3,thomas.davis@example.com
1289,Charles Rodriguez,Male,44.0,2024-02-23,it,"$42,996.82",61.91,charles.rodriguez@example.com
1100,Michael Thomas,Male,42.0,22 Feb 2018,SALES,,308.17,michael.thomas@example.com
1280,Jessica Wilson,MALE,19.0,2023/11/11,Marketing,"$40,032.22",156.91,jessica.wilson@example.com
1127,Patricia Garcia,FEMALE,21.0,01-01-2019,marketing,"$60,098.13",238.11,patricia.garcia@example.com
1133,Karen Martinez,Female ,52.0,2019-03-12,hr,"$22,296.85",51.9,
1081,Karen Hernandez,FEMALE,45.0,2017/07/16,Finance,"$40,004.32",148.58,karen.hernandez@example.com
1267,Patricia Jones, Male,19.0,06-13-2023,SALES,"$37,193.94",30.21,patricia.jones@example.com
1171,Richard Jones,MALE,49.0,25/05/2020,hr,"$45,334.49",116.51,richard.jones@example.com
1185,James Gonzalez,female,27.0,04 Nov 2020,hr,"$46,201.22",44.83,
1140,Mary Johnson, Male,56.0,2019/06/01,hr,,19.98,mary.johnson@example.com
1102,Elizabeth Lopez,MALE,52.0,03-17-2018,Sales,"$60,290.80",32.29,elizabeth.lopez@example.com
1189,Joseph Lopez,F,48.0,12-20-2020,SALES,"$61,488.92",51.78,
1232,Joseph Miller,M,49.0,03 May 2022,Sales,"$50,947.67",331.64,joseph.miller@example.com
1178,Karen Thomas,male,25.0,14/08/2020,marketing,"$38,280.75",244.08,karen.thomas@example.com
1066,Barbara Rodriguez,MALE,45.0,2017/01/23,hr,"$61,120.54",76.91,barbara.rodriguez@example.com
1082,William Miller,male,50.0,07-28-2017,sales,"$39,376.19",208.74,william.miller@example.com
1058,David Martinez,MALE,47.0,2016/10/23,SALES,"$61,776.53",203.02,david.martinez@example.com
1207,Jennifer Williams,F,29.0,2021-07-17,it,"$71,951.49",48.75,jennifer.williams@example.com
1294,Susan Johnson,Female ,51.0,2024-04-21,hr,"$60,480.46",74.15,susan.johnson@example.com
1087,Jessica Lopez,female,46.0,24/09/2017,it,"$61,950.55",63.91,jessica.lopez@example.com
1019,Sarah Wilson,Male,29.0,07-28-2015,finance ,"$63,333.73",251.19,sarah.wilson@example.com
1090,Charles Rodriguez,FEMALE,55.0,10-29-2017,HR,,64.75,charles.rodriguez@example.com
1177,Jennifer Miller,female,51.0,2020-08-03,it,"$52,046.71",172.1,jennifer.miller@example.com
1247,Jessica Martinez,male,42.0,24/10/2022,SALES,"$80,781.93",230.22,jessica.martinez@example.com
1056,Jennifer Gonzalez,F,46.0,,sales,$273.81,45.64,jennifer.gonzalez@example.com
1130,Patricia Martinez,MALE,33.0,2019-02-05,finance ,"$64,242.02",59.74,patricia.martinez@example.com
1228,Barbara Rodriguez, Male,47.0,2022/03/17,Marketing,"$55,046.63",77.15,barbara.rodriguez@example.com
1208,James Hernandez,male,60.0,07-28-2021,it,"$64,211.49",46.52,james.hernandez@example.com
1277,Thomas Garcia,F,32.0,,finance ,"$37,761.94",6.23,thomas.garcia@example.com
1246,Charles Wilson,Male,40.0,2022/10/12,finance ,"$55,056.94",142.72,charles.wilson@example.com
1126,Patricia Davis,male,20.0,20/12/2018,sales,"$64,295.53",96.36,patricia.davis@example.com
1023,Mary Thomas,male,38.0,09-13-2015,hr,"$76,544.53",168.04,mary.thomas@example.com
1119,Susan Miller,M,19.0,30 Sep 2018,HR,"$47,488.83",41.06,susan.miller@example.com
1218,William Johnson,male,45.0,2021/11/21,Sales,"$50,924.88",10.32,william.johnson@example.com
1211,Charles Lopez,Male,47.0,2021/09/01,marketing,"$38,539.93",60.93,charles.lopez@example.com
1288,James Garcia,male,,02-11-2024,SALES,"$67,820.29",381.4,james.garcia@example.com
1296,Thomas Anderson,MALE,47.0,14 May 2024,marketing,"$52,885.18",101.27,thomas.anderson@example.com
1123,Richard Johnson, Male,58.0,16/11/2018,hr,"$55,782.60",16.76,richard.johnson@example.com
1275,David Hernandez,MALE,18.0,14/09/2023,Finance,"$48,823.76",86.15,david.hernandez@example.com
1203,Elizabeth Rodriguez,F,61.0,2021-05-31,marketing,"$78,687.78",80.21,elizabeth.rodriguez@example.com
1186,Michael Hernandez,F,57.0,11-15-2020,IT,"$76,529.50",46.74,michael.hernandez@example.com
1266,Barbara Williams,MALE,,06-01-2023,SALES,"$33,734.74",27.81,barbara.williams@example.com
1268,Barbara Williams, Male,36.0,06-24-2023,sales,"$49,551.09",6200.0,barbara.williams@example.com
1116,Elizabeth Wilson,FEMALE,57.0,2018-08-26,hr,"$60,682.64",4.67,elizabeth.wilson@example.com
1109,Mary Johnson,female,52.0,06/06/2018,SALES,"$48,782.90",33.38,mary.johnson@example.com
1243,Elizabeth Brown,Female ,61.0,07 Sep 2022,Marketing,"$55,925.57",106.04,elizabeth.brown@example.com
1300,Richard Hernandez,MALE,47.0,2024-06-30,Sales,"$66,251.83",121.87,richard.hernandez@example.com
1025,Susan Gonzalez,MALE,29.0,06 Oct 2015,Marketing,"$75,451.43",515.22,invalid_email
1105,Jennifer Gonzalez,male,24.0,2018/04/21,SALES,"$56,961.46",37.53,jennifer.gonzalez@example.com
1263,Michael Jones,male,57.0,04-27-2023,IT,"$55,020.10",125.13,michael.jones@example.com
1162,Richard Anderson,F,50.0,11/02/2020,Finance,"$77,080.22",6200.0,richard.anderson@example.com
1063,Sarah Martinez,Male,57.0,2016/12/20,HR,"$47,739.55",153.11,sarah.martinez@example.com
1284,Robert Brown,male,39.0,27 Dec 2023,marketing,"$57,229.41",99.19,robert.brown@example.com
1079,John Rodriguez,F,34.0,23/06/2017,sales,"$58,346.83",34.29,john.rodriguez@example.com
1267,Patricia Jones, Male,19.0,06-13-2023,SALES,"$37,193.94",30.21,patricia.jones@example.com
1051,Thomas Brown,female,22.0,2016/08/02,hr,"$59,340.39",190.96,thomas.brown@example.com
1139,Elizabeth Gonzalez,FEMALE,,05-20-2019,sales,"$47,494.58",395.42,elizabeth.gonzalez@example.com
1231,Joseph Williams,M,37.0,04-21-2022,Marketing,"$52,237.36",31.55,joseph.williams@example.com
1264,Charles Williams,FEMALE,42.0,2023-05-09,Finance,"$77,094.30",7.1,charles.williams@example.com
1151,Linda Wilson,Female ,41.0,10-06-2019,sales,"$43,565.15",197.12,linda.wilson@example.com
1053,Jessica Gonzalez,M,46.0,26 Aug 2016,Marketing,"$60,037.62",46.65,jessica.gonzalez@example.com
1265,Charles Anderson, Male,42.0,21/05/2023,sales,"$18,236.92",183.14,charles.anderson@example.com
1062,Susan Davis,FEMALE,37.0,08/12/2016,HR,"$75,558.11",11.84,susan.davis@example.com
1059,James Williams,Male,63.0,03/11/2016,sales,,47.82,james.williams@example.com
1239,Thomas Smith,Male,52.0,23/07/2022,hr,"$44,712.21",16.29,thomas.smith@example.com
1214,Sarah Gonzalez,M,,2021/10/06,it,"$43,081.01",474.94,sarah.gonzalez@example.com
1029,David Williams,F,37.0,11-21-2015,it,"$56,788.39",158.29,david.williams@example.com
1070,Michael Miller,male,19.0,03-11-2017,SALES,"$53,354.09",47.63,michael.miller@example.com
1037,Elizabeth Williams,M,25.0,2016-02-22,Sales,"$55,090.25",41.85,elizabeth.williams@example.com
1041,Charles Miller,MALE,50.0,2016-04-08,Marketing,"$500,000.00",145.02,charles.miller@example.com
1161,Michael Johnson,male,54.0,2020/01/30,IT,"$34,340.27",257.45,michael.johnson@example.com
1259,Sarah Johnson,MALE,36.0,2023-03-12,finance ,"$59,089.68",28.26,sarah.johnson@example.com
1012,Patricia Anderson,female,26.0,05-08-2015,SALES,"$85,904.47",10.4,patricia.anderson@example.com
1001,Michael Johnson,F,21.0,2019/11/22,Finance,"$40,665.62",14.33,michael.johnson@example.com
1017,Mary Rodriguez,M,43.0,2015/07/05,it,"$43,723.66",166.43,mary.rodriguez@example.com
1262,Patricia Wilson,Female ,41.0,16/04/2023,HR,"$56,659.20",438.47,patricia.wilson@example.com
1221,Karen Jones,Male,18.0,2021-12-26,marketing,"$56,530.47",8.57,karen.jones@example.com
1213,William Brown,MALE,27.0,09-24-2021,it,"$34,662.79",215.94,invalid_email
1142,Susan Davis,FEMALE,58.0,2019/06/24,HR,"$54,979.11",496.33,susan.davis@example.com
1099,Michael Johnson,Male,63.0,2018-02-10,Finance,"$81,915.55",65.51,michael.johnson@example.com
1180,Mary Lopez, Male,57.0,2020-09-07,hr,"$31,108.09",83.95,mary.lopez@example.com
1047,Thomas Miller,female,63.0,,HR,"$58,174.15",226.98,thomas.miller@example.com
1148,David Rodriguez,Female,46.0,2019/09/02,Marketing,"$69,608.41",162.34,david.rodriguez@example.com
1238,Richard Gonzalez,male,35.0,11 Jul 2022,IT,"$51,053.90",15.51,richard.gonzalez@example.com
1129,Susan Johnson,female,44.0,2019-01-24,IT,"$61,147.43",100.45,susan.johnson@example.com
1008,Joseph Gonzalez,F,26.0,2015-03-23,finance ,"$56,538.30",11.25,joseph.gonzalez@example.com
1298,Michael Gonzalez,Male,64.0,06/06/2024,IT,"$70,112.66",29.1,michael.gonzalez@example.com
1001,Michael Rodriguez,Female ,63.0,10/11/2019,finance ,"$63,138.92",16.53,michael.rodriguez@example.com
1224,Michael Thomas,MALE,29.0,2022-01-30,hr,"$49,580.94",86.56,michael.thomas@example.com
1215,James Lopez,FEMALE,27.0,10-18-2021,finance ,"$74,553.48",100.23,james.lopez@example.com
1009,David Williams,Female ,35.0,2015-04-03,Finance,,10.16,david.williams@example.com
1028,Elizabeth Smith,Female,32.0,10/11/2015,sales,"$41,994.92",152.35,elizabeth.smith@example.com
1279,Joseph Anderson,F,30.0,10-30-2023,finance ,"$53,246.80",34.71,joseph.anderson@example.com
1059,James Williams,Male,63.0,03/11/2016,sales,,47.82,james.williams@example.com
1217,Thomas Williams,Male,64.0,2021-11-10,IT,"$77,310.97",85.99,thomas.williams@example.com
1214,Sarah Gonzalez,M,,2021/10/06,it,"$43,081.01",474.94,sarah.gonzalez@example.com
1242,Jennifer Gonzalez,MALE,33.0,2022/08/27,Marketing,"$74,326.66",107.72,jennifer.gonzalez@example.com
1209,Karen Johnson,Female,62.0,09 Aug 2021,it,"$63,975.21",383.14,karen.johnson@example.com
1032,Linda Thomas,Female,50.0,26/12/2015,IT,"$83,232.62",41.1,linda.thomas@example.com
1002,Susan Davis,FEMALE,19.0,2015/01/12,IT,"$70,740.09",54.14,susan.davis@example.com
1173,Charles Jones,Male,53.0,17/06/2020,hr,,67.69,charles.jones@example.com
1014,William Wilson,Female,64.0,2015/05/31,it,"$35,844.75",128.48,william.wilson@example.com
1010,Thomas Davis, Male,22.0,,Marketing,"$78,824.14",71.71,thomas.davis@example.com
1147,Karen Garcia,F,29.0,2019/08/21,sales,"$40,678.12",47.05,karen.garcia@example.com
1293,William Anderson,F,26.0,09 Apr 2024,Finance,"$50,257.03",27.44,william.anderson@example.com
1096,Susan Hernandez,M,47.0,2018/01/06,Marketing,"$47,758.15",102.84,susan.hernandez@example.com
